Course Code,Title (TH),Title (EN),Created At
ICCS00833,ภาษาไทยเพื่อการพัฒนาปัญญา (หลักสูตรปรับปรุง 2565),Thai for Intellectual Development (Revised Curriculum B.E. 2565 (2022)),2025
STOU00832,ทักษะการเอาตัวรอดเมื่อหลงป่า,Survival Skill: Lost in the Jungle,2025
STOU00831,มวยไทยอาชีพ,Professional Muay Thai Coaching Skills,2025
STOU00830,มวยไทยแบบทหาร,Military Muay Thai,2025
MICROSOFT00829,Microsoft AI Skills For All (ออนไลน์),Microsoft AI Skills For All (Online),2025
MICROSOFT00828,หลักสูตรทักษะเอไอระดับพื้นฐาน (ออนไลน์),AI Basics (Online),2025
MU00334,การจัดการการเปลี่ยนแปลงมิติด้านการบริหารและการจัดการภาครัฐ,Change Management: Dimensions of Public Administration and Public Management,2020
OEC00827,การจัดการเรียนรู้เพื่อพัฒนาผู้เรียนตามมาตรฐานการศึกษาของชาติ,Learning Management for developing learners according to the National Education Standard,2025
SKCC00826,ผ้ามัดย้อมและผ้าพิมพ์ลายใบไม้สีธรรมชาติ,Natural dyed tie-dye and botanical printed fabrics,2025
TAT00824,พลิกโฉมธุรกิจท่องเที่ยวด้วยเทคโนโลยีดิจิทัล,Transforming Tourism Business with Digital Technology,2024
TAT00823,การพัฒนาธุรกิจท่องเที่ยวสู่ความเป็นเลิศและยั่งยืน,Developing Tourism Business Toward Excellencies and Sustainability,2024
NITIVAJRA00822,ความรู้เกี่ยวกับการดำเนินคดีป่าไม้ คดีทรัพยากรธรรมชาติและสิ่งแวดล้อม,"Knowledge of the prosecution of Forestry, Natural Resource and Environmental Cases",2024
NITIVAJRA00821,ความรู้เกี่ยวกับการดำเนินคดีอาชญากรรมทางเทคโนโลยี,Knowledge of the prosecution of cybercrime,2024
SKCC00820,ภาษาอังกฤษเพื่อการสื่อสารสากล,English for global communication,2024
NITIVAJRA00819,ความรู้เกี่ยวกับการคุ้มครองเด็กในกระบวนการยุติธรรมทางอาญา,Knowledge of child protection in the criminal justice system,2024
da3b77fa-dfb4-4033-bee6-f9739b65b403,งานยุคใหม่ของผู้สูงวัย และแรงบันดาลใจธุรกิจบริการ,null,2024
91dbd614-92f0-4a3e-ba2e-fe9004116aba,งานยุคใหม่ของผู้สูงวัย และแรงบันดาลใจธุรกิจผลิตภัณฑ์สินค้า,null,2024
PSU00815,ภาษาเกาหลี 1-2 ,Korean 1-2,2020
PSU00814,ภาษาเกาหลี 1-1 ,Korean 1-1,2020
SRU00811,หลักและวิธีการทำขนมปัง,Principles and methods of making bread,2024
CMU00075,ระบบเครือข่ายคอมพิวเตอร์ขั้นพื้นฐาน,Network Literacy,2020
NPRU00809,การสนทนาภาษาจีนเพื่อการทำงาน,Chinese Conversation at Work,2024
RpYf,ลงทุนพอเพียง มั่งคั่งยั่งยืน,null,2024
csZF,การเงินพอเพียง การเงินมั่นคง,null,2024
X9GJ,ชีวิตสมดุล ชีวิตพอเพียง,null,2024
bFaz,ครบเครื่องเรื่องลงทุน ตอน มือใหม่กับ 5 Steps ลงทุน,null,2024
rGEr,ครบเครื่องเรื่องลงทุน ตอน อยากลงทุน ต้องรู้จักผลตอบแทนและความเสี่ยง,null,2024
